operations,nodes,iteration,time,throughput,puts
100000,1,1,33.03,60551,49942
100000,1,2,30.638,65278,49864
100000,1,3,29.556,67668,49969
100000,1,4,28.527,70109,49953
100000,1,5,28.871,69273,50036
100000,1,6,28.504,70165,50153
100000,1,7,29.366,68105,50055
100000,1,8,29.462,67884,49596
100000,1,9,28.951,69082,50066
100000,1,10,29.34,68166,50056
100000,2,1,60.215,33214,49905
100000,2,2,58.019,34471,49964
100000,2,3,49.163,40680,50041
100000,2,4,48.957,40852,50137
100000,2,5,47.872,41778,50290
100000,2,6,47.659,41964,50557
100000,2,7,47.624,41995,50196
100000,2,8,46.364,43136,49967
100000,2,9,47.574,42039,50035
100000,2,10,46.037,43443,50031
100000,3,1,90.316,22144,49880
100000,3,2,70.522,28359,50040
100000,3,3,61.707,32411,50150
100000,3,4,58.787,34021,49978
100000,3,5,54.313,36823,49915
100000,3,6,55.94,35752,49952
100000,3,7,53.26,37551,50084
100000,3,8,53.829,37154,50149
100000,3,9,56.022,35700,50349
100000,3,10,53.18,37608,50006
100000,4,1,91.24,21920,50223
100000,4,2,62.956,31768,49882
100000,4,3,62.704,31895,50081
100000,4,4,63.195,31648,49975
100000,4,5,60.402,33111,49821
100000,4,6,59.129,33824,50280
100000,4,7,59.225,33769,49968
100000,4,8,58.994,33901,50004
100000,4,9,58.797,34015,50121
100000,4,10,58.99,33904,49962
100000,5,1,81.036,24680,50268
100000,5,2,69.483,28784,50245
100000,5,3,69.13,28930,50047
100000,5,4,67.953,29432,49515
100000,5,5,64.905,30814,50187
100000,5,6,63.511,31490,50051
100000,5,7,63.974,31262,49999
100000,5,8,62.161,32174,50205
100000,5,9,61.738,32394,50330
100000,5,10,62.651,31922,49715
100000,6,1,141.559,14128,49909
100000,6,2,118.605,16862,50070
100000,6,3,83.228,24030,49875
100000,6,4,72.201,27700,50060
100000,6,5,69.732,28681,50081
100000,6,6,68.977,28995,50177
100000,6,7,66.135,30241,50035
100000,6,8,66.893,29898,50253
100000,6,9,66.55,30052,50029
100000,6,10,65.386,30587,49827
100000,7,1,140.176,14267,50089
100000,7,1,149.36,13390,49933
100000,7,2,85.185,23478,50257
100000,7,3,93.555,21377,49703
100000,7,4,104.386,19159,49972
100000,7,5,92.467,21629,49917
100000,7,6,93.526,21384,49978
100000,7,7,71.35,28030,49923
100000,7,8,68.665,29126,50060
100000,7,9,69.729,28682,50059
100000,7,10,68.878,29036,50065
100000,8,1,169.837,11775,50040
100000,8,1,151.392,13210,49956
100000,8,2,122.115,16378,50010
100000,8,3,90.936,21993,50007
100000,8,4,76.81,26038,50334
100000,8,5,78.693,25415,49955
100000,8,6,78.283,25548,50016
100000,8,7,76.245,26231,50105
100000,8,8,75.621,26447,50081
100000,8,9,74.442,26866,50070
100000,8,10,75.239,26581,49923
100000,9,1,175.557,11392,49909
100000,9,1,133.108,15025,49755
100000,9,2,112.013,17855,49838
100000,9,3,107.928,18530,50085
100000,9,4,89.146,22435,49835
100000,10,1,238.474,8386,50113
100000,10,2,217.9,9178,49977
100000,10,3,164.613,12149,49966
100000,10,4,142.988,13987,49871
100000,11,1,264.229,7569,49772
100000,11,2,223.751,8938,50004
100000,11,3,87.709,22802,49961
100000,11,4,173.614,11519,50252
100000,12,1,259.236,7714,50247
100000,9,1,192.126,10409,49689
100000,9,2,160.846,12434,50074
100000,9,3,82.315,24296,49987
100000,9,4,110.393,18117,49932
100000,9,5,101.201,19762,50143
100000,9,6,79.572,25134,50138
100000,9,7,76.182,26252,50141
100000,9,8,81.745,24466,50344
100000,9,9,78.874,25356,49908
100000,9,10,74.669,26784,50088
100000,10,1,166.772,11992,49923





100000,9,1,166.32,12025,49985
100000,9,1,144.06,13883,50040
100000,9,2,95.522,20937,49855
100000,9,3,90.767,22034,50106
100000,9,4,114.153,17520,49912
100000,9,5,98.261,20353,50084
100000,9,6,81.682,24485,50192
100000,9,7,97.922,20424,50341
100000,9,8,103.029,19412,50085
100000,9,9,78.452,25493,50094
100000,9,10,73.625,27164,50106
100000,10,1,198.384,10081,49998
100000,10,1,185.34,10790,49989
100000,10,1,147.079,13598,49667
100000,10,2,161.263,12402,50098
100000,10,3,108.882,18368,50000
100000,10,4,101.843,19638,50082
100000,10,5,88.588,22576,50310
100000,10,6,90.513,22096,50246
100000,10,7,80.977,24698,49962
100000,10,8,78.496,25479,49965
100000,10,9,74.271,26928,49815
100000,10,10,71.316,28044,49701
100000,11,1,250.507,7983,49935
100000,11,2,236.362,8461,49774
100000,11,3,189.193,10571,50131
100000,11,4,167.534,11937,49949
100000,11,5,143.823,13905,50129
100000,11,6,141.211,14163,49827
100000,11,7,120.718,16567,50058
100000,11,8,99.999,20000,50140
100000,11,9,81.677,24486,50120
100000,11,10,80.897,24722,50086
100000,12,1,301.272,6638,49849
100000,12,2,234.488,8529,49728
100000,12,3,183.392,10905,49808
100000,12,4,160.157,12487,49696
100000,12,5,83.906,23836,50086
100000,12,6,133.528,14978,50428
100000,12,7,135.932,14713,49817
100000,12,8,134.288,14893,49997
100000,12,9,117.211,17063,49899
100000,12,10,121.938,16401,50057
