operations,nodes,iteration,time,throughput
100000,1,1,66.695,29987
100000,1,2,82.14,24348
100000,1,3,64.431,31040
100000,1,4,88.347,22638
100000,1,5,95.206,21007
100000,2,1,122.662,16304
100000,2,2,129.611,15430
100000,2,3,135.173,14795
100000,2,4,137.147,14582
100000,2,5,120.973,16532
100000,3,1,218.851,9138
100000,3,2,177.079,11294
100000,3,3,192.357,10397
100000,3,4,213.173,9382
100000,3,5,149.188,13405
100000,4,1,232.046,8618
100000,4,2,208.546,9590
100000,4,3,194.792,10267
100000,4,4,197.677,10117
100000,4,5,191.06,10467
