operations,nodes,iteration,time,throughput
100000,1,1,32.13,62247
100000,1,2,28.123,71116
100000,1,3,26.62,75131
100000,1,4,26.906,74332
100000,1,5,27.247,73402
100000,2,1,46.211,43279
100000,2,2,42.178,47418
100000,2,3,41.401,48308
100000,2,4,40.43,49468
100000,2,5,40.948,48842
100000,3,1,90.013,22219
100000,3,2,61.693,32418
100000,3,3,56.442,35434
100000,3,4,54.556,36659
100000,3,5,53.052,37698
100000,4,1,156.989,12739
100000,4,2,71.491,27975
100000,4,3,67.352,29694
100000,4,4,65.685,30448
100000,4,5,61.281,32636
100000,5,1,195.636,10223
100000,5,2,86.514,23117
100000,5,3,75.746,26404
100000,5,4,74.663,26787
100000,5,5,75.122,26623
