second,throughput
512,16000
2,11000
514,15000
4,10000
516,15000
6,11000
518,15000
8,11000
520,16000
10,10000
522,16000
12,10000
524,15000
14,11000
526,16000
16,10000
528,15000
18,11000
530,16000
20,11000
532,15000
22,10000
534,15000
24,11000
536,15000
26,11000
538,16000
28,11000
540,15000
30,12000
542,16000
32,11000
544,16000
34,10000
546,15000
36,10000
548,16000
38,10000
550,15000
40,10000
552,14000
42,10000
554,16000
44,10000
556,16000
46,11000
558,16000
48,11000
560,15000
50,11000
562,16000
52,11000
564,15000
54,10000
566,15000
56,11000
568,16000
58,11000
570,16000
60,12000
572,15000
62,11000
574,16000
64,11000
576,15000
66,10000
578,17000
68,12000
580,17000
70,8000
582,16000
72,10000
584,16000
74,12000
586,16000
76,13000
588,15000
78,10000
590,16000
80,10000
592,16000
82,12000
594,16000
84,9000
596,15000
86,11000
598,15000
88,12000
90,12000
92,13000
94,10000
96,12000
98,12000
100,12000
102,11000
104,10000
106,11000
108,12000
110,11000
112,13000
114,11000
116,13000
118,11000
120,12000
122,12000
124,13000
126,13000
128,13000
130,13000
132,13000
134,12000
136,14000
138,14000
140,13000
142,13000
144,13000
146,15000
148,13000
150,13000
152,12000
154,14000
156,10000
158,14000
160,13000
162,12000
164,14000
166,14000
168,14000
170,13000
172,12000
174,12000
176,12000
178,13000
180,13000
182,12000
184,14000
186,14000
188,13000
190,12000
192,11000
194,10000
196,13000
198,15000
200,14000
202,14000
204,14000
206,12000
208,15000
210,13000
212,15000
214,16000
216,15000
218,15000
220,15000
222,17000
224,15000
226,15000
228,15000
230,15000
232,15000
234,16000
236,16000
238,16000
240,14000
242,16000
244,12000
246,15000
248,16000
250,15000
252,16000
254,15000
256,16000
258,16000
260,16000
262,15000
264,16000
266,16000
268,15000
270,16000
272,15000
274,16000
276,15000
278,16000
280,14000
282,15000
284,16000
286,15000
288,15000
290,15000
292,13000
294,14000
296,14000
298,14000
300,14000
302,13000
304,15000
306,14000
308,15000
310,14000
312,14000
314,14000
316,14000
318,14000
320,15000
322,15000
324,15000
326,16000
328,14000
330,15000
332,15000
334,14000
336,13000
338,15000
340,14000
342,14000
344,14000
346,14000
348,15000
350,14000
352,14000
354,14000
356,14000
358,14000
360,14000
362,14000
364,14000
366,15000
368,13000
370,14000
372,14000
374,14000
376,15000
378,14000
380,14000
382,14000
384,15000
386,15000
388,15000
390,13000
392,14000
394,15000
396,15000
398,15000
400,15000
402,10000
404,9000
406,11000
408,13000
410,14000
412,13000
414,12000
416,10000
418,12000
420,12000
422,12000
424,12000
426,12000
428,12000
430,12000
432,12000
434,11000
436,12000
438,12000
440,12000
442,13000
444,13000
446,13000
448,14000
450,14000
452,14000
454,14000
456,14000
458,13000
460,13000
462,14000
464,15000
466,15000
468,13000
470,15000
472,15000
474,15000
476,15000
478,15000
480,15000
482,14000
484,15000
486,15000
488,14000
490,15000
492,15000
494,15000
496,15000
498,15000
500,15000
502,15000
504,15000
506,16000
508,15000
510,15000
