experiment,clientId,nodes,cacheSize,isPartionAware,cacheIsPartioned,isPerstistent,cpuCores,throughput,avg_time_reads,avg_time_writes
6,3,4,512,false,true,false,1,27043,0.730401096868267,0.7777177073862007
6,4,4,512,false,true,false,1,27379,0.7198381529723774,0.7763277275525744
6,1,4,512,false,true,false,1,27404,0.7193242840949425,0.7744444354427098
6,2,4,512,false,true,false,1,27229,0.7255178311268765,0.7706873001202346
8,4,4,2048,true,true,false,1,55475,0.3555917811046845,0.3761629932833759
8,3,4,2048,true,true,false,1,55087,0.3585058296436329,0.376030265633535
8,2,4,2048,true,true,false,1,55653,0.3538912824790142,0.3779737268310239
8,1,4,2048,true,true,false,1,55048,0.35878672189121524,0.3757833364983293
10,1,4,512,false,false,true,1,47367,0.36055053848924884,0.7580330878908812
10,3,4,512,false,false,true,1,47300,0.3612318359763785,0.7588907794636705
10,2,4,512,false,false,true,1,48284,0.3488944826068133,0.7734673977038563
10,4,4,512,false,false,true,1,48130,0.3541839496875827,0.7539380670538249
12,3,4,2048,true,false,true,1,44059,0.3849013116913165,0.8313472025853363
12,4,4,2048,true,false,true,1,43577,0.39175215029751187,0.8243688254665203
12,1,4,2048,true,false,true,1,43548,0.3915610924755132,0.8284891559277368
12,2,4,2048,true,false,true,1,43892,0.38736996907759014,0.8291151737301221
5,1,2,2048,false,true,false,1,34289,0.5753937584033806,0.6159279625529925
5,2,2,2048,false,true,false,1,34717,0.5673340915225485,0.6140806088911953
7,2,2,512,true,true,false,1,32750,0.602376694880237,0.6456524832787819
7,1,2,512,true,true,false,1,32614,0.6062516824334718,0.6421433258599005
9,1,2,2048,false,false,true,1,49399,0.3664707292333042,0.6124425830856526
9,2,2,2048,false,false,true,1,47241,0.38538020919807403,0.6272206600144831
11,2,2,512,true,false,true,1,47512,0.3797590560277251,0.6429585283246905
11,1,2,512,true,false,true,1,49247,0.3627269571420837,0.6419430873016589
2,2,4,512,false,false,false,2,48301,0.35036087408746236,0.7623582975005174
2,3,4,512,false,false,false,2,48424,0.3493686197072261,0.7615721166219346
2,4,4,512,false,false,false,2,48399,0.3481539689161985,0.7701014724535378
2,1,4,512,false,false,false,2,48136,0.3523226211420928,0.7611021279947368
4,4,4,2048,true,false,false,2,47772,0.3548742654541873,0.7657243174526303
4,2,4,2048,true,false,false,2,47828,0.3541094205987474,0.7682223948569329
4,3,4,2048,true,false,false,2,48086,0.3501719911337714,0.774875788597971
4,1,4,2048,true,false,false,2,47575,0.3568390355871094,0.7660110354992328
14,4,4,512,false,true,true,2,27275,0.7236725237642175,0.7728319451249388
14,1,4,512,false,true,true,2,27142,0.7275619124940229,0.7736541565282933
14,3,4,512,false,true,true,2,27213,0.723930430220508,0.7816160396750301
14,2,4,512,false,true,true,2,27047,0.7299562576505602,0.7769276189538946
16,1,4,2048,true,true,true,2,52277,0.377918192034823,0.39504656636987
16,2,4,2048,true,true,true,2,52132,0.37903959209871646,0.39581869892233623
16,4,4,2048,true,true,true,2,52759,0.3732537986104711,0.39881248367059696
16,3,4,2048,true,true,true,2,51625,0.3830364409078579,0.3992816264801416
3,2,2,512,true,false,false,2,53239,0.3359392208415995,0.5888111246433875
3,1,2,512,true,false,false,2,54048,0.3272141893753716,0.6015734583078929
1,2,2,2048,false,false,false,2,52744,0.333950455334959,0.6229248644723288
1,1,2,2048,false,false,false,2,54797,0.31866614980353003,0.618040351919524
13,1,2,2048,false,true,true,2,32871,0.596953775874716,0.660253980288097
13,2,2,2048,false,true,true,2,32596,0.6032607322206698,0.6561191916854406
15,1,2,512,true,true,true,2,55920,0.35313275597387506,0.3711783800105684
15,2,2,512,true,true,true,2,57593,0.34160419274710296,0.3665336182347191
